name: WX-Pasl
time                 value
----                 -----
2019-01-01T16:10:09Z 10258.30
2019-01-01T16:15:04Z 10256.03
2019-01-01T16:20:04Z 10255.70
2019-01-01T16:25:04Z 10254.34
2019-01-01T16:30:04Z 10253.88
2019-01-01T16:35:09Z 10253.40
2019-01-01T16:40:05Z 10253.68
2019-01-01T16:45:08Z 10253.68
2019-01-01T16:50:04Z 10251.85
2019-01-01T16:55:04Z 10252.35
2019-01-01T17:00:03Z 10250.14
2019-01-01T17:05:04Z 10250.58
2019-01-01T17:10:09Z 10249.03
2019-01-01T17:15:05Z 10247.35
2019-01-01T17:20:09Z 10247.51
2019-01-01T17:25:04Z 10248.01
2019-01-01T17:30:04Z 10246.52
2019-01-01T17:40:09Z 10242.69
2019-01-01T17:45:05Z 10242.99
2019-01-01T17:50:04Z 10243.51
2019-01-01T17:55:04Z 10243.29
2019-01-01T18:00:03Z 10243.18
2019-01-01T18:05:05Z 10241.08
2019-01-01T18:10:03Z 10241.03
2019-01-01T18:15:05Z 10241.94
2019-01-01T18:20:04Z 10241.94
2019-01-01T18:25:03Z 10240.75
2019-01-01T18:30:04Z 10239.73
2019-01-01T18:35:09Z 10241.03
2019-01-01T18:40:08Z 10239.62
2019-01-01T18:45:04Z 10239.67
2019-01-01T18:50:04Z 10239.51
2019-01-01T18:55:04Z 10239.78
2019-01-01T19:00:03Z 10238.21
2019-01-01T19:05:04Z 10236.11
2019-01-01T19:10:04Z 10234.76
2019-01-01T19:15:04Z 10235.01
2019-01-01T19:20:03Z 10236.14
2019-01-01T19:25:05Z 10231.92
2019-01-01T19:30:05Z 10233.14
2019-01-01T19:35:04Z 10232.11
2019-01-01T19:40:04Z 10232.28
2019-01-01T19:45:04Z 10232.39
2019-01-01T19:50:05Z 10231.09
2019-01-01T19:55:04Z 10231.09
2019-01-01T20:00:04Z 10230.63
2019-01-01T20:05:04Z 10229.58
2019-01-01T20:10:03Z 10227.20
2019-01-01T20:15:09Z 10227.40
2019-01-01T20:20:06Z 10227.61
2019-01-01T20:25:04Z 10227.53
2019-01-01T20:30:04Z 10225.87
2019-01-01T20:35:04Z 10224.52
2019-01-01T20:40:04Z 10224.46
2019-01-01T20:45:04Z 10223.88
2019-01-01T20:50:05Z 10222.80
2019-01-01T20:55:04Z 10221.75
2019-01-01T21:00:04Z 10219.52
2019-01-01T21:05:03Z 10217.25
2019-01-01T21:10:04Z 10216.50
2019-01-01T21:15:04Z 10214.93
2019-01-01T21:20:04Z 10213.31
2019-01-01T21:25:04Z 10214.13
2019-01-01T21:30:04Z 10213.72
2019-01-01T21:35:04Z 10211.92
2019-01-01T21:40:04Z 10211.70
2019-01-01T21:45:04Z 10208.35
2019-01-01T21:50:04Z 10208.74
2019-01-01T21:55:04Z 10208.39
2019-01-01T22:00:04Z 10207.07
2019-01-01T22:05:04Z 10205.96
2019-01-01T22:10:03Z 10206.21
2019-01-01T22:15:04Z 10207.50
2019-01-01T22:20:03Z 10206.84
2019-01-01T22:25:09Z 10206.63
2019-01-01T22:30:06Z 10206.07
2019-01-01T22:35:04Z 10205.73
2019-01-01T22:40:03Z 10205.54
2019-01-01T22:45:04Z 10204.00
2019-01-01T22:50:04Z 10203.09
2019-01-01T22:55:03Z 10203.30
2019-01-01T23:00:05Z 10202.34
2019-01-01T23:05:03Z 10201.90
2019-01-01T23:10:04Z 10202.09
2019-01-01T23:15:04Z 10200.51
2019-01-01T23:20:04Z 10199.64
2019-01-01T23:25:04Z 10199.69
2019-01-01T23:30:03Z 10197.24
2019-01-01T23:35:05Z 10198.03
2019-01-01T23:40:03Z 10197.75
2019-01-01T23:45:04Z 10197.86
2019-01-01T23:50:04Z 10198.34
2019-01-01T23:55:09Z 10197.18
2019-01-02T00:00:05Z 10197.06
2019-01-02T00:05:03Z 10196.40
2019-01-02T00:10:09Z 10197.36
2019-01-02T00:15:04Z 10198.03
2019-01-02T00:20:04Z 10197.34
2019-01-02T00:25:04Z 10195.65
2019-01-02T00:30:04Z 10197.72
2019-01-02T00:35:05Z 10196.70
2019-01-02T00:40:03Z 10194.77
2019-01-02T00:45:04Z 10194.60
2019-01-02T00:50:03Z 10196.29
2019-01-02T00:55:04Z 10197.78
2019-01-02T01:00:09Z 10196.95
2019-01-02T01:05:04Z 10195.85
2019-01-02T01:10:08Z 10197.68
2019-01-02T01:15:09Z 10196.77
2019-01-02T01:20:08Z 10195.53
2019-01-02T01:25:03Z 10196.41
2019-01-02T01:30:04Z 10195.75
2019-01-02T01:35:04Z 10194.15
2019-01-02T01:40:03Z 10192.46
